antecedent,consequent,support,confidence,lift
{9192},{31651},0.011,0.900,43.560
{26134},{60732},0.012,0.889,65.302
{26134},{74524},0.013,0.963,64.945
{26134},{57515},0.013,0.981,50.473
{57515},{74524},0.014,0.725,48.896
{57515},{60732},0.013,0.662,48.670
{57515},{26134},0.013,0.662,50.473
{60732},{74524},0.013,0.964,65.034
{60732},{57515},0.013,0.946,48.670
{60732},{26134},0.012,0.857,65.302
{74524},{57515},0.014,0.951,48.896
{74524},{60732},0.013,0.885,65.034
{74524},{26134},0.013,0.852,64.945
{13453},{59246},0.011,0.917,76.963
{13453},{64594},0.011,0.917,75.423
{13453},{62105},0.011,0.958,77.306
{13453},{60443},0.011,0.917,71.154
{13453},{47548},0.010,0.896,78.414
{13453},{61339},0.010,0.854,76.392
{14148},{54782},0.021,0.935,40.942
{14148},{44776},0.021,0.946,40.550
{44776},{54782},0.022,0.938,41.031
{44776},{14148},0.021,0.917,40.550
{47548},{13453},0.010,0.915,78.414
{47548},{59246},0.010,0.915,76.814
{47548},{64594},0.010,0.915,75.277
{47548},{62105},0.011,0.936,75.518
{47548},{60443},0.011,0.936,72.668
{47548},{61339},0.010,0.851,76.115
{54782},{44776},0.022,0.957,41.031
{54782},{14148},0.021,0.926,40.942
{59246},{64594},0.011,0.939,77.242
{59246},{62105},0.011,0.959,77.374
{59246},{60443},0.011,0.898,69.702
{59246},{13453},0.011,0.898,76.963
{59246},{47548},0.010,0.878,76.814
{59246},{61339},0.011,0.898,80.309
{60443},{62105},0.011,0.868,70.013
{60443},{64594},0.011,0.868,71.413
{60443},{59246},0.011,0.830,69.702
{60443},{13453},0.011,0.830,71.154
{60443},{47548},0.011,0.830,72.668
{60443},{61339},0.010,0.811,72.560
{61339},{47548},0.010,0.870,76.115
{61339},{13453},0.010,0.891,76.392
{61339},{59246},0.011,0.957,80.309
{61339},{64594},0.010,0.935,76.914
{61339},{62105},0.011,0.957,77.159
{61339},{60443},0.010,0.935,72.560
{62105},{60443},0.011,0.902,70.013
{62105},{64594},0.011,0.922,75.827
{62105},{59246},0.011,0.922,77.374
{62105},{13453},0.011,0.902,77.306
{62105},{47548},0.011,0.863,75.518
{62105},{61339},0.011,0.863,77.159
{64594},{62105},0.011,0.940,75.827
{64594},{60443},0.011,0.920,71.413
{64594},{59246},0.011,0.920,77.242
{64594},{13453},0.011,0.880,75.423
{64594},{47548},0.010,0.860,75.277
{64594},{61339},0.010,0.860,76.914
{96328},{14148},0.009,0.875,38.707
{96328},{54782},0.009,0.925,40.484
{96328},{44776},0.009,0.925,39.640
{48693},{37096},0.011,0.830,38.375
{48693},{61144},0.010,0.792,67.920
{39749},{64408},0.026,0.921,17.224
{39749},{74994},0.024,0.860,33.052
{39749},{61432},0.024,0.851,34.319
{39749},{25161},0.023,0.816,33.562
{39749},{7686},0.024,0.877,33.415
{74994},{7686},0.024,0.916,34.889
{74994},{39749},0.024,0.916,33.052
{74994},{64408},0.023,0.897,16.778
{74994},{61432},0.022,0.832,33.548
{74994},{25161},0.021,0.813,33.450
{8096},{72695},0.009,0.972,108.101
{8096},{34560},0.008,0.917,107.748
{34560},{8096},0.008,0.943,107.748
{34560},{72695},0.008,0.971,108.012
{40313},{55776},0.028,0.750,23.735
{44413},{55020},0.020,0.900,39.813
{44413},{45122},0.020,0.900,39.813
{44413},{55776},0.019,0.856,27.075
{44413},{40313},0.020,0.900,23.735
{55020},{45122},0.020,0.903,39.956
{55020},{55776},0.019,0.839,26.542
{55020},{40313},0.020,0.882,23.253
{55020},{44413},0.020,0.871,39.813
{55776},{40313},0.028,0.900,23.735
{72695},{8096},0.009,0.946,108.101
{72695},{34560},0.008,0.919,108.012
{74735},{2343},0.015,0.792,47.234
{74735},{59199},0.015,0.792,48.644
{74735},{93735},0.014,0.766,47.762
{93735},{59199},0.015,0.909,55.821
{93735},{2343},0.014,0.894,53.300
{93735},{74735},0.014,0.894,47.762
{10413},{60042},0.015,0.938,58.438
{10413},{31717},0.015,0.969,59.484
{10413},{86958},0.015,0.969,58.609
{10413},{15755},0.016,1.000,49.566
{10413},{83249},0.014,0.922,59.259
{10413},{62583},0.014,0.922,60.200
{10413},{78656},0.014,0.906,59.180
{15755},{86958},0.016,0.807,48.837
{15755},{31717},0.016,0.807,49.566
{15755},{60042},0.016,0.783,48.815
{15755},{10413},0.016,0.771,49.566
{15755},{83249},0.015,0.759,48.792
{15755},{62583},0.015,0.759,49.566
{15755},{78656},0.015,0.747,48.779
{31717},{86958},0.016,0.970,58.694
{31717},{15755},0.016,1.000,49.566
{31717},{60042},0.015,0.940,58.612
{31717},{10413},0.015,0.925,59.484
{31717},{83249},0.015,0.925,59.484
{31717},{62583},0.015,0.925,60.428
{31717},{78656},0.015,0.910,59.454
{60042},{31717},0.015,0.955,58.612
{60042},{86958},0.016,1.000,60.500
{60042},{15755},0.016,0.985,48.815
{60042},{10413},0.015,0.909,58.438
{60042},{83249},0.015,0.924,59.411
{60042},{62583},0.015,0.909,59.365
{60042},{78656},0.014,0.894,58.376
{62583},{83249},0.014,0.937,60.200
{62583},{10413},0.014,0.937,60.200
{62583},{60042},0.015,0.952,59.365
{62583},{31717},0.015,0.984,60.428
{62583},{86958},0.015,0.968,58.579
{62583},{15755},0.015,1.000,49.566
{62583},{78656},0.014,0.905,59.082
{78656},{62583},0.014,0.905,59.082
{78656},{83249},0.014,0.921,59.180
{78656},{10413},0.014,0.921,59.180
{78656},{60042},0.014,0.937,58.376
{78656},{31717},0.015,0.968,59.454
{78656},{86958},0.015,0.968,58.579
{78656},{15755},0.015,0.984,48.779
{83249},{10413},0.014,0.922,59.259
{83249},{60042},0.015,0.953,59.411
{83249},{31717},0.015,0.969,59.484
{83249},{86958},0.015,0.984,59.555
{83249},{15755},0.015,0.984,48.792
{83249},{62583},0.014,0.922,60.200
{83249},{78656},0.014,0.906,59.180
{86958},{15755},0.016,0.985,48.837
{86958},{31717},0.016,0.956,58.694
{86958},{60042},0.016,0.971,60.500
{86958},{10413},0.015,0.912,58.609
{86958},{83249},0.015,0.926,59.555
{86958},{62583},0.015,0.897,58.579
{86958},{78656},0.015,0.897,58.579
{74096},{83602},0.019,0.755,36.104
{74096},{8347},0.018,0.717,35.538
{74096},{73735},0.018,0.717,35.971
{74096},{47420},0.019,0.745,36.501
{74096},{88940},0.018,0.708,36.846
{2343},{74735},0.015,0.884,47.234
{2343},{59199},0.015,0.913,56.064
{2343},{93735},0.014,0.855,53.300
{59199},{2343},0.015,0.940,56.064
{59199},{74735},0.015,0.910,48.644
{59199},{93735},0.015,0.896,55.821
{7190},{92490},0.024,0.952,36.963
{7190},{51657},0.025,0.962,36.984
{7190},{95398},0.025,0.971,36.665
{7190},{12305},0.025,0.971,25.951
{7190},{24746},0.024,0.933,36.921
{7190},{88631},0.024,0.933,37.644
{12305},{95398},0.026,0.688,25.979
{12305},{51657},0.025,0.675,25.965
{12305},{92490},0.025,0.675,26.210
{12305},{7190},0.025,0.662,25.951
{51657},{95398},0.026,0.981,37.038
{51657},{12305},0.025,0.972,25.965
{51657},{92490},0.025,0.963,37.360
{51657},{7190},0.025,0.944,36.984
{51657},{24746},0.025,0.944,37.340
{51657},{88631},0.024,0.916,36.941
