antecedent,consequent,support,confidence,lift
{'0'},{'8'},0.500,0.800,0.133
{'0'},{'7'},0.500,0.800,0.133
{'6'},{'8'},0.500,0.800,0.133
{'7'},{'8'},0.500,0.667,0.111
{'7'},{'0'},0.500,0.667,0.133
{'7'},{'9'},0.500,0.667,0.167
{'8'},{'7'},0.500,0.667,0.111
{'8'},{'0'},0.500,0.667,0.133
{'8'},{'6'},0.500,0.667,0.133
{'8'},{'5'},0.500,0.667,0.133
{'8'},{'4'},0.500,0.667,0.167
{'9'},{'5'},0.375,0.750,0.150
{'9'},{'0'},0.375,0.750,0.150
{'9'},{'8'},0.375,0.750,0.125
{'9'},{'7'},0.500,1.000,0.167
{'4'},{'5'},0.375,0.750,0.150
{'4'},{'6'},0.375,0.750,0.150
{'4'},{'8'},0.500,1.000,0.167
{'5'},{'8'},0.500,0.800,0.133
{'3'},{'5'},0.375,1.000,0.200
{'9'},"{'8', '0'}",0.375,0.750,0.188
{'9'},"{'7', '5'}",0.375,0.750,0.250
{'9'},"{'7', '0'}",0.375,0.750,0.188
{'9'},"{'7', '8'}",0.375,0.750,0.188
{'4'},"{'8', '5'}",0.375,0.750,0.188
{'4'},"{'8', '6'}",0.375,0.750,0.188
{'9'},"{'7', '8', '0'}",0.375,0.750,0.250
"{'7', '8'}",{'0'},0.375,0.750,0.150
"{'7', '8'}",{'9'},0.375,0.750,0.188
"{'8', '0'}",{'7'},0.375,0.750,0.125
"{'8', '0'}",{'9'},0.375,0.750,0.188
"{'8', '0'}",{'5'},0.375,0.750,0.150
"{'7', '0'}",{'8'},0.375,0.750,0.125
"{'7', '0'}",{'9'},0.375,0.750,0.188
"{'8', '6'}",{'4'},0.375,0.750,0.188
"{'9', '5'}",{'7'},0.375,1.000,0.167
"{'9', '0'}",{'8'},0.375,1.000,0.167
"{'9', '0'}",{'7'},0.375,1.000,0.167
"{'9', '8'}",{'0'},0.375,1.000,0.200
"{'9', '8'}",{'7'},0.375,1.000,0.167
"{'9', '7'}",{'5'},0.375,0.750,0.150
"{'9', '7'}",{'0'},0.375,0.750,0.150
"{'9', '7'}",{'8'},0.375,0.750,0.125
"{'0', '5'}",{'8'},0.375,1.000,0.167
"{'8', '5'}",{'0'},0.375,0.750,0.150
"{'8', '5'}",{'4'},0.375,0.750,0.188
"{'7', '5'}",{'9'},0.375,1.000,0.250
"{'4', '5'}",{'8'},0.375,1.000,0.167
"{'4', '6'}",{'8'},0.375,1.000,0.167
"{'8', '4'}",{'5'},0.375,0.750,0.150
"{'8', '4'}",{'6'},0.375,0.750,0.150
"{'7', '8'}","{'9', '0'}",0.375,0.750,0.250
"{'8', '0'}","{'9', '7'}",0.375,0.750,0.188
"{'7', '0'}","{'9', '8'}",0.375,0.750,0.250
"{'9', '0'}","{'7', '8'}",0.375,1.000,0.250
"{'9', '8'}","{'7', '0'}",0.375,1.000,0.250
"{'9', '7'}","{'8', '0'}",0.375,0.750,0.188
"{'7', '8', '0'}",{'9'},0.375,1.000,0.250
"{'9', '8', '0'}",{'7'},0.375,1.000,0.167
"{'9', '7', '0'}",{'8'},0.375,1.000,0.167
"{'9', '7', '8'}",{'0'},0.375,1.000,0.200
