high_flour,low_flour,warm_water,sugar,yeast,olive_oil,salt,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
241.47,20.53,32.55,12.14,10.95,28.49,-0.09,45.11,243.9,14.97,True,True,True,0,70,1,0
194.07,0.73,207.27,10.26,12.39,-4.58,9.45,19.95,147.0,14.04,False,False,True,1,46,0,0
148.48,99.72,145.48,6.77,4.69,8.79,3.95,29.63,224.56,11.54,True,False,False,0,55,0,1
58.13,-6.2,175.88,-4.08,-1.95,-0.31,0.47,17.35,188.17,13.53,False,True,True,1,63,1,0
83.9,14.62,208.07,-0.75,1.0,0.49,-1.52,43.2,182.87,8.61,False,True,True,0,47,0,0
50.66,123.21,89.86,-3.64,11.71,2.37,8.07,42.91,320.97,7.39,False,True,True,0,20,0,0
213.03,28.9,169.38,9.51,11.66,3.2,9.19,44.97,205.55,0.91,False,True,False,1,83,0,0
134.18,107.61,142.26,6.52,5.89,24.52,2.88,27.19,211.41,9.66,True,False,False,0,35,1,1
172.74,-9.06,152.46,-4.38,3.34,0.0,-5.81,43.96,154.75,13.91,False,True,True,1,90,0,0
111.78,206.22,158.91,4.5,3.22,1.94,-5.15,44.31,147.54,1.45,False,False,True,0,33,1,0
69.92,24.82,89.08,-1.76,2.34,-2.22,-0.08,43.75,257.73,16.93,False,True,True,0,99,1,0
100.5,14.92,121.62,-4.87,9.24,32.41,6.9,16.13,160.37,5.2,False,False,True,0,88,0,0
49.34,113.18,63.31,8.74,15.13,2.25,12.75,41.18,116.81,8.31,False,True,True,0,27,0,0
150.5,192.57,224.63,1.48,11.86,4.48,-4.03,40.3,241.15,0.62,False,True,False,1,68,1,1
247.74,30.07,61.81,-3.71,0.8,33.26,-3.15,42.19,120.57,1.31,False,True,True,1,54,0,0
247.52,134.6,100.79,4.83,2.32,29.49,8.36,42.45,169.73,2.94,False,True,True,1,43,1,0
135.42,96.59,132.4,6.35,4.46,12.02,2.1,25.67,227.91,9.89,True,False,False,0,77,0,1
94.4,181.31,79.16,12.1,-0.95,4.88,4.91,42.09,139.03,-0.19,True,True,True,1,94,0,1
214.6,-0.93,199.27,11.16,8.84,-1.67,-0.12,44.49,232.09,1.3,False,True,True,0,93,1,0
218.53,205.03,177.27,-2.7,8.92,27.83,7.86,45.08,144.96,14.56,False,True,True,0,98,0,0
131.8,107.27,137.2,6.85,4.99,10.14,2.76,21.81,227.06,9.03,True,False,False,1,83,1,1
139.83,97.94,131.65,5.47,4.22,21.55,2.04,34.97,229.88,9.86,True,False,False,0,79,1,1
126.1,14.6,70.55,7.68,9.44,26.66,9.49,49.39,189.33,8.79,False,False,True,0,82,0,0
219.51,52.61,223.77,10.29,2.03,34.45,-7.43,13.9,327.02,17.26,True,True,True,1,47,1,0
236.91,158.41,203.94,14.78,11.35,3.55,-2.41,45.03,111.24,21.63,False,True,True,1,86,1,0
46.24,117.69,183.18,15.65,-5.08,31.42,-3.05,10.55,180.48,17.0,True,True,True,1,34,0,0
241.49,199.15,168.72,8.15,2.28,-1.21,5.75,15.07,297.27,16.0,False,True,True,1,52,1,0
210.26,170.84,174.64,14.96,11.14,33.92,-6.6,42.53,318.54,21.47,False,True,True,1,25,0,0
34.39,58.29,49.06,7.56,14.77,-0.47,12.51,44.36,294.77,17.79,False,True,True,0,85,0,1
143.74,108.48,138.0,5.09,4.2,10.28,2.85,21.59,228.71,10.69,True,False,False,0,57,1,1
96.28,137.71,96.01,-1.44,9.54,-1.32,13.31,19.05,119.37,22.92,False,True,True,0,46,0,0
52.23,46.88,127.15,11.38,14.88,26.73,-4.79,47.08,129.38,19.99,False,True,True,0,93,1,0
68.34,80.04,61.64,11.66,0.87,31.43,-3.37,14.46,128.96,6.82,False,True,True,1,78,1,0
210.07,161.93,55.09,-1.57,0.72,3.08,11.51,17.66,326.55,-0.05,False,True,True,0,46,0,0
140.67,109.99,148.65,6.29,4.97,22.27,2.57,27.89,217.23,9.79,True,False,False,0,40,1,1
43.69,30.04,123.81,12.89,15.58,31.75,-0.89,18.0,245.58,3.62,False,True,True,0,38,0,0
63.34,152.72,235.56,8.1,9.38,-3.71,13.74,44.0,284.62,0.15,False,True,True,0,42,0,0
116.76,112.42,86.87,-1.0,0.92,26.67,-3.08,15.46,239.86,1.92,False,True,True,1,68,0,1
168.71,195.32,238.18,-2.28,-1.36,31.29,-2.46,41.61,134.07,4.37,True,True,True,1,97,0,0
133.57,93.54,136.38,5.46,4.53,20.6,3.97,33.13,214.78,9.9,False,False,False,1,39,1,1
214.28,131.49,100.24,7.17,-5.44,0.66,-6.53,19.03,180.43,5.23,False,True,True,1,33,1,0
143.14,103.51,139.62,6.19,4.05,7.29,2.27,25.34,215.89,9.67,True,False,False,0,22,0,1
63.07,46.44,191.61,-4.63,11.89,2.99,5.67,11.9,290.64,0.22,False,True,True,0,79,0,0
