high_flour,low_flour,warm_water,sugar,yeast,olive_oil,salt,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
134.9,108.86,139.45,5.02,5.9,22.18,3.58,37.12,229.59,9.68,True,False,False,1,74,1,1
213.03,173.89,37.27,-0.51,-1.66,1.19,6.09,15.31,299.58,19.66,True,True,True,1,31,0,0
129.82,65.12,36.43,-2.5,2.08,25.46,-4.43,15.39,194.56,5.35,False,True,True,1,57,0,0
216.3,173.08,212.06,7.16,14.32,34.6,-1.35,19.16,150.55,3.62,False,True,True,0,82,0,0
121.38,-5.17,171.81,8.98,-1.07,-2.89,6.28,43.03,239.56,17.49,False,True,True,1,77,0,0
161.08,162.66,226.38,10.3,11.48,2.26,5.86,42.62,165.88,7.76,True,True,True,1,71,1,0
139.66,104.97,147.38,5.28,5.06,23.14,3.95,30.87,216.11,10.71,True,False,False,1,96,0,1
149.22,107.12,146.8,5.59,5.52,20.92,2.38,23.68,215.26,12.04,True,False,False,1,95,1,1
130.29,92.23,133.1,6.1,4.13,11.26,2.81,39.91,211.45,12.1,True,False,False,0,64,1,1
99.81,117.83,217.18,13.54,12.9,3.33,-4.58,10.95,177.93,8.53,False,True,True,1,77,0,0
104.32,56.45,90.38,10.29,2.75,31.46,10.8,12.76,135.98,15.59,False,True,True,1,85,1,0
150.31,203.97,32.11,-0.1,-0.9,33.62,-3.26,42.04,306.81,1.49,False,True,True,1,71,1,0
143.53,101.88,139.02,5.05,5.84,24.22,3.62,30.72,211.59,12.74,False,False,False,1,28,0,1
138.19,91.39,148.22,5.5,4.87,22.76,3.12,37.42,212.92,10.68,True,False,False,0,56,0,1
99.43,189.66,226.92,16.84,7.0,29.99,10.93,11.41,231.13,6.46,False,True,True,1,53,1,0
190.92,37.45,92.83,14.04,-3.78,33.78,1.84,19.04,320.01,6.11,False,True,True,1,27,1,0
146.52,105.36,138.03,6.91,4.58,13.83,2.63,29.69,214.14,12.81,True,False,False,0,35,0,1
64.7,150.24,245.45,13.64,10.07,2.52,12.41,12.8,317.07,-0.8,False,True,True,1,97,1,0
212.26,140.75,155.46,1.95,0.7,-3.61,-6.32,16.64,232.12,-0.07,False,True,False,1,59,0,0
64.64,25.0,48.01,15.4,-5.97,-0.03,13.58,42.95,321.41,22.24,False,True,True,0,30,0,0
227.81,175.97,214.54,8.63,-5.29,29.86,13.87,40.88,314.32,6.69,False,True,True,0,62,1,0
