high_flour,low_flour,warm_water,sugar,yeast,olive_oil,salt,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
137.8,106.19,144.36,6.13,4.39,16.19,2.28,28.46,210.8,12.4,True,False,False,1,32,1,1
226.76,187.13,107.09,13.88,-3.92,4.99,8.2,17.49,159.22,6.42,True,True,True,0,76,1,0
146.76,107.85,138.76,6.51,5.0,13.29,3.79,39.52,217.3,10.75,False,False,False,1,68,1,1
139.29,95.73,135.85,6.67,4.96,22.3,2.49,36.63,212.4,9.62,True,False,False,0,23,0,1
84.53,110.71,92.82,12.01,3.26,4.07,-7.84,16.66,147.81,4.25,False,False,True,0,83,0,0
45.77,136.68,89.52,3.05,7.22,28.1,13.33,48.73,188.44,16.97,False,True,True,1,29,1,0
137.8,107.53,143.72,6.99,5.82,18.16,3.42,27.59,223.94,10.63,True,False,False,1,46,1,1
136.81,94.12,132.43,6.06,4.15,24.93,3.5,26.42,215.54,12.04,True,False,False,0,85,1,1
139.91,109.19,134.79,5.78,4.23,17.55,2.44,30.92,223.9,11.49,True,False,False,0,39,1,1
52.13,60.39,81.03,15.6,-3.6,34.49,-5.56,43.86,281.51,15.5,True,False,True,0,63,1,0
134.13,94.72,146.46,6.46,5.04,24.91,3.34,35.06,227.76,10.04,True,True,False,1,51,1,1
100.19,178.86,47.78,9.27,-5.44,28.95,10.13,49.87,196.44,6.87,False,True,False,1,43,0,0
206.8,19.47,221.2,9.26,3.78,-3.89,-6.29,49.86,174.21,14.31,False,True,True,1,64,0,0
147.59,102.05,149.54,6.45,5.79,12.65,2.28,26.59,212.18,9.85,True,False,False,0,58,1,1
168.95,24.66,243.02,8.33,13.5,33.08,-7.08,42.74,286.46,3.28,False,True,True,1,100,0,0
143.55,94.51,139.38,6.11,4.23,11.0,2.87,24.84,220.89,12.93,True,False,False,0,21,1,1
173.97,138.41,74.76,4.06,-1.35,26.32,-4.67,47.53,188.19,0.51,False,True,True,1,21,1,1
143.99,97.98,131.31,5.8,5.13,10.39,2.65,27.45,219.72,10.8,True,False,True,0,44,1,1
133.14,100.44,141.8,5.38,4.88,22.09,3.65,31.91,210.22,12.79,True,False,False,1,75,0,1
40.71,183.87,181.49,-4.85,0.42,1.95,12.63,43.72,242.41,13.45,True,True,True,0,62,0,0
188.92,149.84,227.41,13.74,0.5,30.14,4.92,12.67,295.95,2.39,False,True,True,0,59,1,0
133.5,106.58,142.7,5.3,4.6,23.54,3.27,21.33,214.98,10.09,True,True,False,1,44,1,1
143.66,108.86,146.12,6.16,4.99,21.1,3.0,30.47,227.85,12.29,True,False,False,0,27,0,0
138.28,102.0,149.07,6.74,4.31,11.71,2.07,34.34,217.79,12.59,False,True,False,1,75,0,1
139.0,91.22,135.98,6.89,4.04,15.14,3.08,39.78,227.29,11.53,True,False,False,1,94,1,1
130.2,101.97,136.57,5.87,4.79,10.06,2.68,31.83,225.62,9.66,True,False,False,1,23,1,1
136.04,102.34,135.81,6.52,5.15,5.31,2.76,34.3,221.65,12.52,True,False,False,0,93,0,1
59.91,157.18,217.33,-0.34,10.07,3.87,0.49,12.42,142.91,17.75,False,True,True,0,87,0,0
134.96,109.77,148.88,5.43,4.74,7.81,2.88,33.07,223.93,11.92,True,True,False,1,91,1,1
133.57,100.48,132.26,5.71,4.81,5.84,2.55,35.09,221.97,10.93,False,False,False,1,94,1,1
148.59,90.27,142.01,5.13,5.07,20.3,2.19,26.64,211.15,10.94,True,False,True,1,82,0,1
140.87,108.64,146.77,6.13,4.75,11.92,3.61,29.86,213.36,10.6,False,False,False,1,65,0,1
130.21,98.29,140.57,5.81,4.87,12.61,2.88,23.41,225.38,12.72,True,False,False,0,43,0,1
142.57,90.4,149.76,5.96,5.99,17.06,3.75,28.99,229.7,9.06,True,False,False,0,69,0,1
163.72,60.16,63.88,4.12,12.32,31.23,-5.31,49.73,278.07,20.85,False,False,True,1,48,1,0
131.37,95.03,137.79,6.66,4.22,18.45,3.13,30.6,227.35,11.82,True,False,False,1,44,1,1
149.26,108.93,134.85,5.65,4.41,5.27,3.8,33.22,222.49,10.12,True,False,False,0,53,0,0
196.57,79.73,230.55,0.23,14.23,-3.18,-5.07,42.63,278.72,8.48,False,True,True,0,42,0,0
174.02,208.46,81.2,3.5,9.81,34.44,-0.67,10.05,266.3,22.82,False,True,True,0,95,1,0
136.25,91.35,144.9,5.01,4.9,15.54,2.56,24.67,213.38,12.0,True,False,False,1,100,0,0
137.76,105.65,141.99,6.2,4.56,7.04,2.74,23.22,222.7,9.53,True,True,False,0,52,1,1
42.67,80.32,172.9,4.3,15.64,1.71,11.47,11.85,305.65,6.12,False,True,True,1,68,1,0
189.24,144.94,194.75,10.57,10.05,27.04,-6.78,48.68,236.79,0.83,False,True,True,1,18,0,0
125.95,52.75,80.2,-0.21,15.29,29.9,9.23,13.87,168.69,6.97,False,True,True,1,77,1,0
138.77,106.46,131.18,6.03,4.95,17.0,2.91,38.56,212.45,10.28,False,False,False,0,37,1,1
141.92,101.64,147.52,6.95,4.01,6.8,2.27,25.25,213.02,11.75,True,False,False,1,79,0,1
