high_flour,low_flour,warm_water,sugar,yeast,salt,olive_oil,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
167.31,88.93,128.08,9.9,6.0,3.52,18.15,33.34,214.79,11.2,False,False,False,1,84,0,1
141.3,121.44,144.1,6.8,4.45,3.08,14.42,33.33,216.09,10.3,True,False,False,1,12,0,1
-203.17,183.17,272.93,71.35,-87.71,-25.69,-59.9,-31.47,-201.5,-84.63,False,True,True,1,87,1,0
134.05,125.91,126.07,5.84,5.94,3.53,15.75,44.71,223.79,11.65,True,False,False,1,73,1,1
-299.31,-41.67,352.88,10.97,78.63,-75.43,-77.63,100.82,348.36,76.84,False,True,True,0,47,1,0
-311.0,-358.41,344.31,39.62,28.5,46.97,70.55,78.83,52.7,65.5,False,True,True,0,71,0,0
-334.48,-423.46,675.8,80.18,-9.71,-65.0,-15.03,62.2,241.06,-31.58,True,True,True,0,70,1,0
168.62,99.84,117.23,7.93,2.82,3.72,13.34,54.39,219.02,11.79,True,False,False,1,52,1,1
-90.58,255.71,26.59,28.61,-33.68,8.99,-2.81,98.53,275.13,69.99,False,True,True,0,84,1,0
125.76,135.46,160.1,7.68,3.02,3.88,14.86,39.56,221.25,11.79,True,False,False,1,81,0,1
-68.85,272.37,441.44,84.02,59.27,-91.11,-2.21,-36.57,-103.03,-67.22,False,True,True,0,35,1,0
170.43,60.43,116.08,8.46,5.29,2.35,10.53,41.96,211.52,11.36,True,True,False,1,63,0,1
324.48,484.01,582.27,-34.1,-67.3,-34.77,-8.19,53.81,64.52,41.73,False,True,True,0,47,0,0
205.73,629.98,-106.2,-79.08,72.74,44.77,108.98,72.79,356.89,103.96,False,True,True,0,39,1,0
-146.74,615.52,159.29,-69.61,-89.13,-55.12,32.77,-14.88,475.69,46.87,False,True,True,0,48,1,0
122.82,-133.73,530.01,50.04,12.55,-62.49,-66.5,107.02,526.7,3.43,False,True,True,0,39,1,0
284.94,-370.12,-334.99,-46.95,106.21,-22.83,-77.89,-28.68,21.52,-72.08,False,True,False,0,97,1,0
115.62,72.71,128.36,9.41,5.55,3.59,12.79,40.44,212.35,10.18,True,False,False,1,82,1,1
-122.78,33.66,-237.56,4.48,-84.07,60.82,59.68,56.8,587.99,16.73,False,True,True,0,76,0,0
348.62,535.36,653.15,42.12,-19.62,-30.86,101.77,85.0,607.98,76.8,False,False,True,0,81,0,0
138.17,120.78,122.07,5.42,4.18,3.01,18.98,55.25,215.83,11.59,False,False,True,1,36,0,1
-286.65,555.9,361.19,-31.21,91.21,-31.84,-50.52,100.68,-227.21,-57.91,False,True,True,0,20,1,0
141.33,-81.97,536.64,-46.22,-97.79,40.43,-85.92,-28.14,567.24,-73.47,False,True,True,0,41,0,0
122.39,63.7,156.91,7.28,2.43,4.49,18.93,43.17,212.1,10.01,False,False,False,1,96,1,1
103.4,102.16,175.12,4.66,4.05,2.86,18.14,48.05,228.63,10.06,True,False,False,1,16,1,1
-37.11,100.5,-91.57,17.04,-49.59,52.65,-64.13,-18.85,-150.99,-21.14,False,True,False,0,44,0,0
522.04,-198.23,573.35,-47.96,49.16,-17.53,11.13,57.23,653.68,-88.59,False,True,True,0,36,0,0
401.11,28.89,-215.5,65.65,-87.95,52.17,73.97,155.3,662.97,54.77,False,False,True,0,36,0,0
112.64,121.98,161.52,7.2,4.46,3.96,19.17,50.06,220.05,10.58,True,False,False,1,93,0,1
146.87,123.09,128.19,6.55,3.99,3.86,19.65,32.66,217.29,11.95,True,False,False,1,25,1,1
109.28,61.47,177.7,4.75,5.95,2.23,12.0,45.36,216.28,11.1,True,False,False,1,34,1,1
157.37,110.23,104.68,7.85,2.32,4.02,14.51,58.7,216.04,11.4,True,False,False,1,14,0,1
