high_flour,low_flour,warm_water,sugar,yeast,olive_oil,salt,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
148.46,109.08,133.37,5.07,5.57,24.84,3.34,30.14,219.67,12.44,True,False,False,0,64,1,1
141.24,107.19,131.09,5.8,5.38,18.69,3.45,36.71,216.46,9.98,True,False,False,0,40,1,1
210.4,-9.3,238.1,16.68,-4.09,-3.4,1.18,10.78,279.79,3.05,False,True,True,0,37,1,0
79.78,200.05,206.09,0.45,6.86,34.29,-2.53,44.07,116.29,5.79,False,True,True,1,45,1,0
131.0,99.86,132.8,5.62,4.98,22.86,3.68,28.25,216.44,11.96,True,False,False,0,32,1,1
65.82,65.17,49.4,-2.94,6.59,29.65,9.82,16.28,152.96,5.95,False,True,True,0,37,0,0
130.58,90.63,145.26,6.66,4.82,21.2,2.58,25.51,216.56,11.33,True,False,False,1,70,1,0
137.5,93.44,130.17,6.59,4.21,23.4,3.09,39.24,213.31,12.5,False,False,False,0,66,0,0
101.18,177.34,196.52,4.04,2.14,-2.99,8.75,14.05,203.16,19.63,False,True,True,0,94,1,1
130.96,100.09,137.63,6.43,4.98,14.26,2.08,33.06,224.25,10.27,True,False,False,0,42,0,0
33.37,193.85,42.7,-1.16,-0.84,-0.66,12.74,17.6,329.64,-0.76,False,True,True,0,89,1,1
110.25,36.9,90.46,11.09,8.73,28.09,-1.38,12.22,194.03,2.67,False,True,True,0,63,0,0
117.02,80.79,48.01,0.78,7.63,26.57,-6.03,12.58,204.44,5.04,False,True,True,0,19,0,1
146.28,102.52,137.25,6.62,5.4,6.5,3.74,35.29,214.69,10.31,False,False,False,1,94,0,1
78.94,147.7,74.23,4.84,11.48,-1.38,5.62,11.92,148.2,14.41,True,True,True,1,95,0,1
43.78,164.87,166.52,16.79,2.07,0.8,5.17,12.58,128.6,1.85,False,True,True,1,73,0,0
66.71,69.55,110.09,8.45,6.57,4.14,11.27,42.97,133.46,15.64,False,True,True,1,63,1,0
131.3,94.61,147.24,5.03,5.4,20.04,2.56,23.32,214.22,10.2,True,False,False,1,97,1,0
138.58,102.37,143.31,6.77,4.48,19.99,2.84,33.5,222.97,10.31,True,False,False,0,25,1,1
111.13,123.19,63.97,-1.02,9.14,28.74,8.83,47.51,328.42,5.43,False,True,True,1,87,1,0
47.17,204.19,220.38,0.54,11.59,30.91,11.38,41.22,158.32,14.42,False,True,True,1,83,1,1
157.88,23.3,243.42,4.23,14.72,34.47,-3.9,44.18,279.32,19.4,False,True,True,1,35,1,1
146.24,102.5,139.96,6.85,4.23,8.53,3.55,34.31,223.27,11.99,False,False,False,0,37,1,1
138.92,96.97,142.92,6.59,4.04,16.81,2.04,38.14,211.4,11.89,True,False,False,1,54,0,1
245.81,183.26,230.11,-1.61,-3.57,34.43,-6.25,17.48,183.19,20.01,False,True,True,0,75,1,0
183.35,78.28,61.75,7.76,1.43,28.83,12.57,45.53,233.27,19.93,False,False,False,0,93,1,0
59.07,53.43,221.66,15.6,-1.53,34.99,-1.44,14.94,156.52,0.71,False,True,True,0,51,0,1
97.12,192.61,201.62,11.18,11.8,27.29,8.25,46.67,126.57,7.01,False,True,True,1,21,0,0
41.01,23.21,106.88,10.08,0.93,-3.32,4.76,19.9,140.79,19.58,False,True,True,1,82,1,0
38.31,132.86,61.04,13.9,-4.41,26.33,0.64,14.18,279.28,13.46,False,True,True,1,61,0,0
145.15,108.95,144.44,5.19,4.54,13.66,3.88,35.57,218.58,11.8,False,False,False,0,60,0,1
153.27,78.6,124.56,15.25,14.4,-0.69,-6.61,41.55,133.81,16.03,False,False,True,0,26,1,0
135.2,100.11,135.94,6.39,5.04,10.89,3.84,26.84,212.71,12.79,True,False,False,1,42,0,0
136.16,92.08,144.34,6.77,4.72,10.85,3.45,34.77,228.19,12.27,True,False,False,0,56,1,0
91.71,148.68,116.65,12.29,13.84,2.5,-7.01,19.5,152.58,0.63,False,True,True,1,23,1,0
234.77,189.48,168.79,7.34,-5.8,4.18,6.41,48.25,235.63,6.73,False,True,True,1,47,1,0
148.33,102.99,142.52,5.49,4.63,11.18,2.83,27.28,225.08,12.3,True,False,False,0,51,0,1
142.31,96.25,143.93,5.53,4.46,10.91,3.8,21.61,214.38,10.5,True,True,True,0,60,0,1
144.89,93.76,131.76,6.28,5.01,22.15,3.53,22.06,211.41,12.48,True,False,False,0,76,1,0
131.49,90.44,147.26,5.54,5.17,21.91,2.79,24.81,216.62,9.7,True,False,False,1,60,1,0
143.05,94.39,130.5,5.68,4.83,11.17,2.52,37.94,218.19,12.86,True,False,False,1,92,0,1
188.61,69.58,127.86,-3.81,7.93,-4.29,-2.46,48.17,310.81,20.11,False,True,False,0,68,1,0
132.99,90.5,149.56,5.98,5.73,18.19,2.61,33.35,225.2,11.07,False,False,False,0,57,0,0
137.43,93.1,143.04,5.45,5.21,17.84,2.75,21.89,216.43,10.26,True,False,False,1,70,1,1
136.01,97.74,147.7,5.08,5.09,20.07,3.6,37.06,225.38,11.29,True,False,True,0,39,1,1
238.0,147.51,44.28,0.83,-1.94,32.37,-4.93,40.14,197.49,0.95,False,True,True,0,48,0,1
224.32,166.32,151.11,15.54,3.83,-2.27,6.76,17.05,293.36,0.68,False,True,False,1,44,0,0
114.63,196.06,32.81,1.61,10.88,-0.0,4.63,44.82,251.01,7.47,False,True,True,0,50,0,0
