high_flour,low_flour,warm_water,sugar,yeast,olive_oil,salt,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
72.92,63.63,176.06,10.89,13.07,0.17,6.05,46.17,281.95,15.9,False,True,True,0,55,1,0
224.32,147.91,242.14,0.17,3.21,-4.17,-2.05,13.43,301.54,8.29,False,True,True,1,84,1,0
209.27,205.32,189.04,9.13,-0.77,25.81,-1.37,13.93,265.83,13.56,False,True,False,1,25,0,0
242.74,-2.29,123.52,4.29,-5.28,28.78,0.17,12.64,207.63,2.82,False,True,True,0,58,1,0
142.67,90.41,149.47,6.76,4.76,16.64,3.43,34.39,222.36,10.18,True,False,False,0,33,0,1
134.56,95.34,145.54,5.66,4.52,17.52,2.89,33.09,218.04,11.08,True,False,False,0,87,0,1
131.34,100.9,133.33,5.89,5.31,5.2,3.35,27.03,213.6,9.85,True,True,True,1,45,1,0
142.64,107.36,132.5,6.96,4.38,15.47,3.38,31.81,219.24,12.37,True,False,False,1,95,0,1
56.85,143.61,165.21,-2.87,2.97,-3.36,13.59,47.42,156.45,20.98,False,False,True,0,65,0,0
144.63,109.99,148.36,5.07,5.02,23.67,3.22,28.37,210.73,11.75,True,False,False,1,22,0,0
127.44,137.11,166.21,14.55,0.61,-4.96,13.62,41.6,158.27,13.29,False,True,True,0,68,1,0
248.48,191.9,41.41,13.38,13.38,4.44,4.62,17.62,143.45,6.45,False,True,True,1,22,0,1
140.54,101.73,137.38,5.71,5.75,16.9,2.05,38.46,225.52,12.08,True,False,False,1,49,0,1
136.52,107.42,142.14,5.84,4.57,24.84,3.82,20.54,218.34,10.89,False,False,False,0,23,0,1
138.24,97.76,137.11,6.7,4.42,17.56,3.02,35.78,213.17,10.51,False,False,False,0,38,1,1
175.67,124.65,35.25,0.75,14.41,3.52,-1.09,16.54,125.12,7.0,False,False,True,0,49,0,0
108.16,49.47,124.26,-3.29,11.75,3.85,-7.11,17.66,319.7,21.11,False,True,True,0,50,0,0
134.05,102.36,148.21,5.42,4.68,20.29,2.17,30.62,217.18,10.21,True,False,False,1,53,0,1
82.32,10.28,48.5,7.68,-1.73,-2.22,-3.15,17.43,132.6,21.87,False,True,True,1,74,0,0
103.21,115.72,168.6,9.48,-1.53,30.57,-0.28,43.81,253.37,19.14,False,True,True,1,37,1,0
144.34,99.38,149.14,5.54,4.43,22.45,3.55,31.49,224.9,11.25,True,False,False,1,75,1,1
