high_flour,low_flour,warm_water,sugar,yeast,salt,olive_oil,standstill,temp,bake_time,extra_effort,pineapple,pearl,elec_power,cooker_age,cooker_gender,label
-193.9,623.59,558.21,45.58,-65.49,83.91,10.44,10.26,615.3,-9.03,False,True,True,0,81,0,0
132.15,125.19,140.65,6.03,5.29,2.98,19.53,51.29,224.28,11.97,True,False,False,1,42,0,1
-73.57,-307.3,512.32,-44.08,-59.48,19.16,19.65,112.58,612.26,-52.15,False,True,True,0,49,1,0
580.37,360.53,386.08,-10.53,4.43,91.44,95.1,153.93,-222.71,-87.86,False,True,True,0,91,1,0
662.6,126.83,-206.44,-87.19,-15.51,18.78,58.89,-12.71,-105.3,-59.47,False,True,True,0,100,0,0
-236.63,-147.69,-238.87,-40.61,42.57,103.22,33.49,48.42,112.53,26.77,False,True,True,0,39,0,0
-172.96,341.16,667.59,31.22,27.11,-76.43,47.37,100.99,-197.49,-21.34,False,True,False,0,37,1,0
142.92,124.2,179.18,5.93,4.73,3.84,14.71,55.74,211.11,11.45,True,False,False,1,28,1,1
144.9,125.76,157.2,6.94,3.55,4.98,14.4,44.21,220.46,10.06,False,False,False,1,99,1,1
-236.82,-409.9,410.22,-58.31,-73.67,-8.85,88.37,152.06,5.91,19.45,False,True,False,0,98,1,0
-213.07,41.37,558.86,-78.83,-73.68,42.01,-46.41,76.95,90.95,23.79,False,True,True,0,14,1,0
112.63,62.59,122.8,8.2,6.18,2.89,14.23,30.07,219.3,10.1,True,False,False,1,54,1,1
139.97,79.56,115.11,4.78,2.99,4.5,14.42,53.85,228.3,11.75,True,True,False,1,14,1,1
176.05,136.98,157.76,9.84,4.05,2.01,13.5,55.45,226.34,10.73,True,False,False,1,46,1,1
580.52,35.28,240.58,-72.58,-0.62,-88.63,-32.55,102.98,-43.46,-41.73,False,True,True,0,84,0,0
401.42,-335.74,326.04,23.36,8.48,56.88,73.44,96.16,478.2,84.82,False,False,True,0,17,0,0
140.7,71.47,134.48,9.51,5.6,3.34,11.55,56.43,226.47,10.63,False,False,False,0,52,1,1
109.79,136.46,133.65,7.19,5.59,4.17,11.09,40.27,216.23,10.92,True,True,False,1,56,0,1
170.92,128.26,146.61,7.83,6.74,2.28,15.27,36.75,228.76,11.8,True,False,False,1,50,1,1
134.25,101.47,117.1,4.4,4.73,2.81,15.77,40.77,219.08,10.61,True,False,False,1,49,0,1
388.01,-415.31,564.81,-35.99,54.72,-4.95,116.36,151.16,624.67,-78.16,False,True,True,0,51,0,0
153.49,629.12,-236.48,33.87,-15.08,-51.71,-85.84,-43.49,19.97,28.63,False,True,False,0,43,1,0
637.96,441.42,80.58,27.92,105.82,-87.75,119.63,-68.56,357.78,-78.93,False,True,False,0,86,1,0
-399.78,-294.62,17.5,-93.38,-0.05,-74.88,84.81,-13.53,267.98,15.2,False,True,True,0,86,1,0
169.94,126.3,158.27,9.17,6.64,4.69,18.69,38.25,228.96,10.86,True,False,False,0,32,0,1
544.74,46.14,-210.73,31.57,-42.1,103.88,-0.58,-13.37,381.94,1.24,False,True,True,0,44,0,0
107.5,85.84,145.55,4.01,2.65,4.43,17.53,36.4,221.88,11.38,True,False,False,1,50,0,1
129.35,132.57,146.27,4.29,5.97,3.1,11.14,42.31,213.42,11.26,False,False,False,1,73,0,1
608.78,343.99,-48.86,-22.36,104.72,38.69,103.41,90.4,465.75,9.73,False,True,True,0,47,0,0
-30.57,92.31,-88.66,-73.79,-87.22,-23.4,58.87,-28.25,-222.84,43.61,True,True,True,1,79,1,0
-217.02,400.53,229.27,104.84,32.93,100.49,40.58,-68.75,-255.84,66.09,False,True,True,0,88,1,0
175.4,93.85,164.97,9.78,6.52,2.29,17.94,51.97,222.95,10.87,True,False,False,1,84,0,1
171.22,92.59,153.85,7.52,4.52,4.11,14.64,57.3,215.44,10.19,True,False,False,1,49,1,1
317.71,-85.87,-136.18,0.85,-94.68,52.97,76.94,-7.74,-247.7,98.16,False,True,True,0,32,0,0
-343.01,-287.17,380.06,87.37,-89.77,-68.6,36.87,-21.48,-10.63,-17.36,False,True,True,0,65,0,0
125.92,88.1,174.47,5.89,6.19,4.25,11.64,36.78,212.53,11.58,True,False,False,1,66,1,1
15.62,489.18,618.34,27.18,91.44,-10.06,59.8,138.45,128.23,-71.69,False,True,True,0,16,0,0
174.65,63.13,144.44,6.65,4.99,2.07,16.42,56.37,211.59,10.91,True,False,False,1,65,0,1
109.63,63.15,113.88,8.98,4.44,3.41,14.56,45.93,227.4,11.43,True,True,False,1,38,1,1
-219.31,488.82,-264.28,105.09,75.26,43.32,94.96,43.38,725.36,11.64,False,True,True,0,75,1,0
205.74,513.41,-240.74,1.81,-80.22,-81.32,40.8,104.86,-83.96,-70.87,False,True,True,0,13,1,0
118.44,72.55,174.56,4.68,2.86,2.22,15.48,50.67,214.87,11.75,True,False,False,1,56,0,1
128.46,71.1,165.33,7.77,2.76,4.4,11.9,39.95,225.06,10.62,True,False,False,1,58,0,1
654.49,45.28,1.64,-70.14,20.03,77.22,24.12,44.17,37.52,84.34,True,False,True,0,36,1,0
125.19,119.13,120.08,8.01,3.64,3.37,12.27,37.54,218.47,11.31,True,False,False,1,44,0,1
-341.58,-267.46,70.53,-36.32,90.42,99.31,12.91,-45.78,-170.62,7.93,False,True,True,0,56,1,0
145.97,131.57,118.08,5.18,3.72,2.5,17.22,56.46,211.39,11.44,True,False,False,1,82,0,1
145.08,67.11,139.42,4.01,5.57,3.49,19.59,40.97,223.74,10.99,True,False,False,1,47,0,1
390.88,57.96,316.87,29.09,-82.28,34.35,88.48,11.26,487.36,15.27,False,True,True,0,16,1,0
-120.46,179.78,317.98,95.77,41.61,16.9,-75.14,117.77,515.68,104.07,False,True,True,0,45,1,0
71.8,150.49,457.16,-24.39,-76.2,-84.03,-36.68,125.95,163.86,-49.26,False,False,True,1,66,0,0
426.92,426.29,-319.82,99.93,28.14,-28.22,-46.81,-31.35,192.8,109.87,False,True,True,0,47,1,0
-163.29,49.94,-163.59,104.65,49.32,90.62,-68.56,156.36,-105.06,-64.96,False,True,True,0,28,1,0
156.69,132.58,115.17,4.49,3.3,2.46,12.64,51.17,224.72,10.68,True,False,False,1,19,1,1
-188.93,495.52,-367.76,-28.37,73.42,-10.18,-16.59,-63.68,-184.62,108.29,False,True,True,0,90,1,0
177.28,89.64,174.95,7.56,2.35,2.22,13.52,52.74,222.34,10.18,True,False,True,1,39,1,1
146.54,102.21,103.97,7.95,2.83,4.05,17.04,48.1,211.56,11.26,True,False,True,1,67,1,1
-377.91,175.38,-237.39,-6.63,-37.65,37.63,99.24,13.84,47.84,5.33,False,True,True,1,52,0,0
-85.9,128.75,33.0,-21.09,40.49,88.84,50.38,-32.57,-82.21,-65.08,False,False,True,0,52,1,0
126.0,132.49,144.31,7.46,3.33,2.74,11.21,55.23,219.52,11.35,False,False,False,1,55,0,1
614.81,-301.94,643.7,49.43,57.43,44.41,-69.53,-37.64,79.98,53.5,True,True,True,0,14,0,0
608.4,75.74,137.38,-78.29,31.26,5.93,49.54,-18.79,367.86,-87.22,False,False,True,0,82,1,0
118.08,97.51,107.69,8.11,3.28,4.74,12.2,52.3,216.4,10.22,True,True,False,1,41,0,1
404.34,-277.54,-184.09,-20.53,23.06,-89.06,-75.82,-13.17,32.79,-12.93,False,True,True,0,22,0,0
420.96,261.93,-300.08,-58.13,44.43,78.04,-5.8,-15.34,646.85,67.31,False,True,True,0,25,1,0
-294.7,-11.39,-296.32,-82.73,80.41,-87.24,39.22,115.99,591.72,44.73,False,True,True,0,95,1,0
-73.79,243.96,318.09,83.04,7.28,-53.19,-7.07,134.66,-30.05,-82.93,False,True,True,0,27,1,0
179.32,66.73,159.07,5.04,5.77,4.58,11.7,49.02,211.8,11.47,True,False,False,1,72,0,1
138.29,71.42,136.07,9.79,3.05,3.35,12.87,35.11,214.26,10.77,True,False,False,0,14,0,1
539.0,-115.0,137.8,57.28,-63.99,-5.85,44.73,94.08,551.73,33.94,False,True,True,1,32,0,0
254.75,103.14,-374.7,29.42,-9.45,37.94,59.83,117.92,78.87,74.14,False,True,True,0,13,1,0
156.01,66.51,119.94,8.33,3.26,4.0,14.74,49.48,223.44,10.92,True,False,False,1,67,0,1
131.68,84.68,120.34,6.07,6.33,2.78,16.12,56.17,223.64,11.23,True,False,False,1,87,1,1
372.34,-253.14,-229.59,-25.18,88.29,-45.05,109.39,85.04,-205.48,-10.61,False,True,True,0,85,0,0
166.68,90.86,166.15,4.42,5.68,4.05,19.0,43.49,222.07,10.75,True,False,False,1,21,1,1
474.01,425.16,521.71,11.98,-86.63,-84.08,-18.42,-61.08,107.08,59.03,False,True,True,0,68,0,0
160.94,-58.66,-3.61,6.24,-83.61,70.68,-6.85,130.86,150.27,44.28,False,False,True,0,24,1,0
102.89,118.43,152.18,8.08,5.01,2.67,11.37,36.3,224.88,10.56,True,False,False,1,49,0,1
-171.32,-165.58,131.28,-20.9,-4.41,-74.04,-5.52,-41.59,-234.17,38.1,False,True,True,0,31,1,0
660.05,637.89,-279.59,8.03,-10.04,-38.28,73.12,-26.13,382.03,6.78,False,False,True,1,85,0,0
176.7,79.56,137.96,9.68,3.8,2.89,19.79,57.01,215.97,10.43,True,False,False,1,32,1,1
412.83,548.53,355.72,-86.36,77.41,52.53,-76.81,13.27,433.55,77.36,True,True,True,0,66,0,0
